"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
consent_version,general_information,,dropdown,"Consent Form Version","1, Ulm < 2010 | 2, Ulm-Tue 2010 | 3, Tue V1.0 | 4, Tue V2.0 Kw | 5, Tue V2.0 | 6, Tue V2.1 | 7, Tue V2.2 Kiki | 8, Tue V2.2 Hd | 9, Tue V2.2 | 10, Tue V3.0 | 11, Tue V4.0 Fr-Kiki | 12, Tue V4.0 | 13, Tue V5.0 | 14, Tue V6.0 Fr-Erw. | 15, Tue V6.0 M? | 16, Tue V6.0 | 17, Tue V7.0 | 18, Tue V8.0 | 19, Tue V8.1 | 20, Tue V8.2 | 21, Tue V8.3 | 22, Tue V8.3 Kiki-Tue | 23, Tue V8.4",,,,,,"[consent_exist] = '1'",,,,,,
ticked_boxes,general_information,,checkbox,"Ticked boxes","1, Box 1 - 5 Points (vital) | 2, Box 2 - Selling samples (optional) | 3, Box 3 - Contact permission (optional)",,,,,,"[consent_version] = '18' or [consent_version] = '19' or [consent_version] = '20' or [consent_version] = '21' or [consent_version] = '22' or [consent_version] = '23'",,,,,,
invalid_consent,general_information,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #ff0000; font-weight: normal;"">Please note that consent form from V8.0 on is only valid if Box 1 is ticked</span></p></div>",,,,,,,"[valid_consent] = '1' and [ticked_boxes(1)] = '0' and [consent_version] = '18' or [valid_consent] = '1' and [ticked_boxes(1)] = '0' and [consent_version] = '19' or [valid_consent] = '1' and [ticked_boxes(1)] = '0' and [consent_version] = '20' or [valid_consent] = '1' and [ticked_boxes(1)] = '0' and [consent_version] = '21' or [valid_consent] = '1' and [ticked_boxes(1)] = '0' and [consent_version] = '22' or [valid_consent] = '1' and [ticked_boxes(1)] = '0' and [consent_version] = '23'",,,,,,
maternal_dna,general_information,,dropdown,"Maternal DNA available","1, Yes | 2, No | 998, Unknown",,,,,,,,,,,,
paternal_dna,general_information,,dropdown,"Paternal DNA available","1, Yes | 2, No | 998, Unknown",,,,,,,,,,,,
general_info_note,general_information,,notes,Note,,,,,,,,,,,,,
general_info_data_ent,general_information,,text,"Date of last data entry<div class='note'>General Informations</div>
",,,date_ymd,,,,,,,,,," @TODAY-SERVER"
clin_data_origin,general_clinical_data,,dropdown,"Clinical data origin","1, Entered by hand (from file) | 2, Exported from Project, please specify!",,,,,,,,,,,,
clin_data_origin_project,general_clinical_data,,dropdown,"Clinical data exported from project","1, Epi25 | 2, Netre | 996, Other, please specify!",,,,,,"[clin_data_origin] = '2'",,,,,,
clin_data_origin_spec,general_clinical_data,,text,"Clinical data exported from project, other",,,,,,,"[clin_data_origin_project] = '996'",,,,,,
person_entering_data,general_clinical_data,,text,"Person entering clinical data",,,,,,,,y,,,,,
clinician_responsible,general_clinical_data,,text,"Clinician responsible for data",,,,,,,,,,,,,
date_last_clinical_info,general_clinical_data,,text,"Date of last clinical information",,"Most recent date that information was collected that has been used to complete the form. (Date of last medical report)<br>Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,,,,,,,
fam_consanguinity,general_clinical_data,"

Family History",dropdown,"Reported family history of consanguinity","1, Yes | 2, No | 998, Unknown",,,,,,,,,,,,
family_history,general_clinical_data,,dropdown,"Family History","1, Yes | 2, No | 998, Unknown","Family history of any seizures (including febrile) regardless of reported aetiology. Family history refers to any biological relative of the proband, including their offspring.",,,,,,,,,,,
fam_first_deg,general_clinical_data,,dropdown,"First-degree relative affected","1, Yes | 2, No | 998, Unknown","First-degree relative is defined as the proband's biological mother, father, brother, sister, son or daughter. The relative is regarded as 'affected' if they have any history of seizures (including febrile) regardless of reported aetiology.",,,,,[family_history]=1,,,,,,
fam_notes,general_clinical_data,,notes,"Details of family history of epilepsy",,"Additional information about family history, other than that captured in the 'First degree relative affected?' section.",,,,,[family_history]=1,,,,,," @PLACEHOLDER='e.g. Sister of Father: JME Onset 12y'"
pedigree_upload,general_clinical_data,,file,"Pedigree upload",,,,,,,,,,,,,
gestational_age_known,general_clinical_data,"

Birth details and antecedents",dropdown,"Gestational Age","1, Known| 998, Unknown",,,,,,,,,,,,
gestational_age,general_clinical_data,,text,"Gestational age at birth (weeks) if known",,,,,,,[gestational_age_known]=1,,,,,," @PLACEHOLDER='e.g. 38+2'"
gestational_age_period,general_clinical_data,,radio,"Gestational age period","1, 37+0 - 40 wks | 2, 32+0 - 36+6 wks | 3, 28+0 - 31+6 wks | 4, </= 27+6 wks",,,,,,[gestational_age_known]=1,,,,,,
head_circumference_known,general_clinical_data,,dropdown,"Head circumference at birth","1, Known | 998, Unknown",,,,,,,,,,,,
head_circumference,general_clinical_data,,text,"Head circumference at birth (cm) if known",,,,,,,[head_circumference_known]=1,,,,,,
birth_weight_known,general_clinical_data,,dropdown,"Birth weight","1, Known|2, Small for gestational age| 998, Unknown",,,,,,,,,,,,
birth_weight,general_clinical_data,,text,"Birth Weight (grams) if known",,,,,,,[birth_weight_known]=1,,,,,,
neonatal_seizures,general_clinical_data,,dropdown,"Neonatal seizures","1, Yes | 2, No | 998, Unknown",,,,,,,,,,,,
normal_neonatal_period,general_clinical_data,,dropdown,"Normal neonatal period (other than seizures)","1, Yes | 2, No | 998, Unknown",,,,,,,,,,,,
neonatal_comments,general_clinical_data,,notes,"Neonatal period comments <div class=""note"">Including prenatal period</div>",,,,,,,,,,,,,
head_trauma,general_clinical_data,"

Other features",dropdown,"Head trauma with skull fracture, intracranial bleeding ","1, Yes | 2, No | 998, Unknown",,,,,,,,,,,,
cns_infection,general_clinical_data,,dropdown,"CNS infection","1, Yes | 2, No | 998, Unknown",,,,,,,,,,,,
movement_disorder,general_clinical_data,,dropdown,"Movement disorder","1, Yes, please specify | 2, No | 998, Unknown",,,,,,,,,,,,
movement_disorder_comment,general_clinical_data,,notes,"Movement disorder comments",,,,,,,[movement_disorder]=1,,,,,,
migraine_yn,general_clinical_data,,dropdown,Migraine,"1, Yes, please specify | 2, No | 998, Unknown",,,,,,,,,,,,
migraine_type,general_clinical_data,,dropdown,"Type of migraine","1, With aura | 2, Without aura | 3, Only aura (no headache) | 998, Unknown",,,,,,"[migraine_yn] = '1'",,,,,,
syncope_yn,general_clinical_data,,dropdown,Syncope,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,,,
other_abnormalities,general_clinical_data,,dropdown,"Other abnormalities","1, Yes, please specify | 2, No | 998, Unknown",,,,,,,,,,,,
other_abnormalities_spec,general_clinical_data,,notes,"Other abnormalities comments",,,,,,,[other_abnormalities]=1,,,,,,
general_clinical_note,general_clinical_data,,notes,Note,,,,,,,,,,,,,
general_clin_data_ent,general_clinical_data,,text,"Date of last data entry<div class='note'>General Clinical Data</div>",,,date_ymd,,,,,,,,,," @TODAY-SERVER"
diagnosis,syndrome,,checkbox,Diagnosis,"1, GGE | 2, DEE | 3, Focal | 996, Other",,,,,,,,,,,,
syndrome_gge,syndrome,Syndrome,radio,"Syndrome GGE","101, Childhood Absence Epilepsy [<span title=""ILAE definition""><a style=""text-decoration:underline"" target=""_blank"" href=""https://www.epilepsydiagnosis.org/syndrome/cae-overview.html"">ILAE Definition</a>]<br><div class='note' style=""text-indent:0pt"">Childhood Absence Epilepsy with onset between 4 to 9 years</div> | 111, Epilepsy with Myoclonic Absences [<span title=""ILAE definition""><a style=""text-decoration:underline"" target=""_blank"" href=""https://www.epilepsydiagnosis.org/syndrome/epilepsy-myoclonic-absences-overview.html"">ILAE Definition</a>] | 102, Childhood Absence Epilepsy/ Juvenile Absence Epilepsy overlap<div class='note' style=""text-indent:0pt"">Patients that have a clinical picture of Childhood Absence Epilepsy or Juvenile Absence Epilepsy but with onset 9 to 11 years.</div> | 103, Juvenile Absence Epilepsy [<span title=""Juvenile Absence Epilepsy""><a style=""text-decoration:underline""href=""https://www.epilepsydiagnosis.org/syndrome/jae-overview.html"" target=""_blank"">ILAE Definition</a>]<div class='note' style=""text-indent:0pt"">Onset > 11y</div> | 104, Juvenile Myoclonic Epilepsy [<a style=""text-decoration:underline""href=""https://www.epilepsydiagnosis.org/syndrome/jme-overview.html"" target=""_blank"">ILAE Definition</a>]<br><div class='note' style=""text-indent:0pt"">Onset 8 to 20 years</div> | 105, Epilepsy with Generalized Tonic-Clonic Seizures Alone  [<a style=""text-decoration:underline""href=""https://www.epilepsydiagnosis.org/syndrome/egtcsa-overview.html"" target=""_blank"">ILAE Definition</a>] <div class='note'style=""text-indent:0pt"">Onset 5 to 20 years.</div> | 106, Other: Late Onset GGE<div class='note' style=""text-indent:0pt"">Generalized epilepsy with onset in adulthood (>20y) </div> | 107, <span title=""Absence Epilepsy with onset under 4 years old."">Other: Early Onset Absence Epilepsy<div class='note' style=""text-indent:0pt"">Absence epilepsy with onset < 4y</div> | 108, Other: Epilepsy with Eyelid Myoclonia [<a style=""text-decoration:underline""href=""https://www.epilepsydiagnosis.org/syndrome/emwa-overview.html"" target=""_blank"">ILAE Definition</a>] | 993, <span title=""Other generalized epilepsy syndrome not on syndrome list."">Other, please specify | 110, <span title=""Generalized epilepsy that does not meet all the criteria for any specific sub-syndrome."">Generalized unspecified | 130, Febrile Seizures only<br><div class='note' style=""text-indent:0pt"">Self-limited seizures with fever occurring between the age of 6 months and 6 years with no known history of afebrile seizures.</div> | 131, Febrile Seizures Plus (FS+)/Genetic Epilepsy with Febrile Seizures Plus (GEFS+) [<a style=""text-decoration:underline""href=""https://www.epilepsydiagnosis.org/syndrome/fbp-overview.html"" target=""_blank"">ILAE Definition</a>]","Syndrome definitions are based on current <a style=""text-decoration:underline;font-size:7pt"" href=""https://www.epilepsydiagnosis.org/syndrome/epilepsy-syndrome-groupoverview.html"" target=""_blank"" title=""_blank"">ILAE definitions</a>.",,,,,"[diagnosis(1)] = '1'",y,,,,,
ee_syndrome,syndrome,,checkbox,"Syndrome DEE","1, Neonatal onset: Ohtahara syndrome [<a style=""text-decoration:underline""href=""https://www.epilepsydiagnosis.org/syndrome/ohtahara-overview.html "" target=""_blank"">ILAE Definition</a>] | 3, Neonatal onset: Early myoclonic encephalopathy (EME) [<a style=""text-decoration:underline"" href=""https://www.epilepsydiagnosis.org/syndrome/eme-overview.html "" target=""_blank"">ILAE Definition</a>] | 4, Early onset epileptic encephalopathy (< 3 months) <br> <div class='note' style=""text-indent:0pt"">Epileptic encephalopathy with seizure onset at less than 3 months of age that does not meet the criteria for any other early onset epileptic encephalopathy.</div> | 5, Infantile onset epileptic encephalopathy (not otherwise specified)  <br> <div class='note' style=""text-indent:0pt"">Epileptic encephalopathy with seizure onset between 3 and 12 months of age that does not meet the criteria for any other infantile onset epileptic encephalopathy.</div> | 6, Epilepsy of infancy with migrating focal seizures [<a style=""text-decoration:underline"" href=""https://www.epilepsydiagnosis.org/syndrome/infancy-migrating-focal-overview.html"" target=""_blank"">ILAE Definition</a>] | 7, West syndrome/infantile spasms [<a style=""text-decoration:underline"" href=""https://www.epilepsydiagnosis.org/syndrome/west-syndrome-overview.html "" target=""_blank"">ILAE Definition</a>] | 8, Late-onset epileptic spasms [<a style=""text-decoration:underline"" href=""https://www.epilepsydiagnosis.org/seizure/epileptic-spasms-overview.html"" target=""_blank"">ILAE Definition</a>] <div class='note' style=""text-indent:0pt"">Onset >1y</div> | 9, Lennox-Gastaut syndrome  [<a style=""text-decoration:underline"" href=""https://www.epilepsydiagnosis.org/syndrome/lgs-overview.html "" target=""_blank"">ILAE Definition</a>] | 10, Epilepsy with myoclonic atonic seizures  [<a style=""text-decoration:underline"" href=""https://www.epilepsydiagnosis.org/syndrome/epilepsy-myoclonic-atonic-overview.html"" target=""_blank"">ILAE Definition</a>] | 11, Dravet syndrome [<a style=""text-decoration:underline"" href=""https://www.epilepsydiagnosis.org/syndrome/dravet-overview.html"" target=""_blank"">ILAE Definition</a>] | 12, Landau-Kleffner syndrome (LKS) [<a style=""text-decoration:underline"" href=""https://www.epilepsydiagnosis.org/syndrome/lks-overview.html"" target=""_blank"">ILAE Definition</a>] | 13, Epileptic encephalopathy with continuous spike-and-wave during sleep (CSWS) [<a style=""text-decoration:underline"" href=""https://www.epilepsydiagnosis.org/syndrome/ee-csws-overview.html"" target=""_blank"">ILAE Definition</a>] | 14, Febrile Infection Related Epilepsy Syndrome (FIRES) [<a style=""text-decoration:underline"" href=""https://www.epilepsydiagnosis.org/aetiology/febrile-infection-related-epilepsy-overview.html"" target=""_blank"">ILAE Definition</a>] | 2, Hemiconvulsion-Hemiplegia-Epilepsy  <br> <div class='note' style=""text-indent:0pt"">Epilepsy with hemispheric atrophy secondary to a prolonged focal motor seizure in infancy, usually during a febrile illness. Hemiplegia is also present (see <a style=""text-decoration:underline; font-size:7pt"" href=""http://dx.doi.org/10.1212/WNL.0b013e31825dce5f"" target=""_blank""> Tenney, J.R. et al, Neurology 2012</a>).</div> | 15, Nonsyndromic epileptic encephalopathy with focal seizures <br> <div class='note' style=""text-indent:0pt"">Epileptic encephalopathy with predominantly focal seizures that does not meet the criteria for any epileptic encephalopathy syndrome.</div> | 16, Nonsyndromic epileptic encephalopathy with generalized seizures <br> <div class='note' style=""text-indent:0pt"">Epileptic encephalopathy with predominantly generalized seizures that does not meet the criteria for any epileptic encephalopathy syndrome.</div> | 17, Nonsyndromic epileptic encephalopathy with mixed or unclassified seizures <br> <div class='note' style=""text-indent:0pt"">Epileptic encephalopathy with mixed or unclassified seizure types that does not meet the criteria for any epileptic encephalopathy syndrome.</div>","Syndrome definitions are based on current <a style=""text-decoration:underline;font-size:7pt"" href=""https://www.epilepsydiagnosis.org/syndrome/epilepsy-syndrome-groupoverview.html"" target=""_blank"" title=""_blank"">ILAE definitions</a>.",,,,,"[diagnosis(2)] = '1'",y,,,,,
multiple_syndromes,syndrome,,notes,"Comments for multiple syndromes EE

",,,,,,,"([ee_syndrome(2)]+ [ee_syndrome(1)]  +[ee_syndrome(3)]+ [ee_syndrome(4)] + [ee_syndrome(5)]+ [ee_syndrome(6)] + [ee_syndrome(7)] + [ee_syndrome(8)]  +[ee_syndrome(9)]+ [ee_syndrome(10)] + [ee_syndrome(11)] + [ee_syndrome(12)] + [ee_syndrome(13)]+ [ee_syndrome(14)]  + [ee_syndrome(15)]+ [ee_syndrome(16)]  ) >1",,,,,,
